# #1(p) 2(cnum) 3(comp1) 4(comp2) 5(avg_csizes) 6(avg_fcsizes) 7(P)
0.000000000000000000e+00 6.250000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.984000000000030628e-01 4.007999999999999341e-01
8.333333333333333868e-04 6.240000000000000000e+02 2.000000000000000000e+00 1.000000000000000000e+00 1.003199999999995207e+00 9.968000000000046823e-01 8.015999999999998682e-01
1.666666666666666774e-03 6.230000000000000000e+02 2.004000000000000004e+00 1.995999999999999996e+00 1.006412799999995888e+00 9.999808000000000030e-01 8.026015999999999151e-01
2.500000000000000052e-03 6.220000000000000000e+02 2.013999999999999790e+00 2.000000000000000000e+00 1.009644799999991571e+00 1.003132799999995495e+00 8.052448000000000938e-01
3.333333333333333547e-03 6.210000000000000000e+02 2.033999999999999808e+00 2.000000000000000000e+00 1.012908800000012599e+00 1.006236799999995934e+00 8.127872000000000430e-01
4.166666666666666609e-03 6.200000000000000000e+02 2.052000000000000046e+00 2.000000000000000000e+00 1.016166400000008130e+00 1.009350399999991099e+00 8.195264000000003213e-01
5.000000000000000104e-03 6.190000000000000000e+02 2.073999999999999844e+00 2.000000000000000000e+00 1.019436800000008247e+00 1.012444800000011025e+00 8.299200000000001021e-01
5.833333333333333599e-03 6.180000000000000000e+02 2.101999999999999869e+00 2.001999999999999780e+00 1.022732800000003106e+00 1.015516800000005881e+00 8.408480000000000398e-01
6.666666666666667095e-03 6.170000000000000000e+02 2.120000000000000107e+00 2.001999999999999780e+00 1.025990399999996860e+00 1.018630400000008818e+00 8.465056000000000802e-01
7.499999999999999722e-03 6.160000000000000000e+02 2.152000000000000135e+00 2.005999999999999783e+00 1.029311999999992899e+00 1.021689600000004194e+00 8.604447999999998986e-01
8.333333333333333218e-03 6.150000000000000000e+02 2.188000000000000167e+00 2.009999999999999787e+00 1.032646399999992859e+00 1.024729599999999019e+00 8.737087999999998411e-01
9.166666666666666713e-03 6.140000000000000000e+02 2.236000000000000210e+00 2.013999999999999790e+00 1.036025599999994551e+00 1.027711999999994852e+00 8.882431999999997885e-01
1.000000000000000021e-02 6.130000000000000000e+02 2.286000000000000032e+00 2.021999999999999797e+00 1.039430400000009413e+00 1.030703999999993847e+00 9.090816000000002672e-01
1.083333333333333370e-02 6.120000000000000000e+02 2.319999999999999840e+00 2.037999999999999812e+00 1.042796800000005852e+00 1.033791999999989830e+00 9.208704000000001999e-01
