# #1(p) 2(cnum) 3(comp1) 4(comp2) 5(avg_csizes) 6(avg_fcsizes) 7(P)
0.000000000000000000e+00 2.500000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.959999999999925580e-01 1.002000000000000002e+00
3.212851405622490261e-05 2.490000000000000000e+02 2.000000000000000000e+00 1.000000000000000000e+00 1.007999999999992902e+00 9.920000000000069873e-01 2.004000000000000004e+00
6.425702811244980522e-05 2.480000000000000000e+02 2.009999999999999787e+00 1.989999999999999991e+00 1.016080000000008088e+00 9.998799999999999910e-01 2.019312000000000662e+00
9.638554216867469427e-05 2.470000000000000000e+02 2.040000000000000036e+00 2.000000000000000000e+00 1.024320000000000341e+00 1.007519999999992866e+00 2.051559999999998940e+00
1.285140562248996104e-04 2.460000000000000000e+02 2.089999999999999858e+00 2.000000000000000000e+00 1.032767999999994801e+00 1.014920000000007816e+00 2.109856000000001064e+00
1.606425702811244995e-04 2.450000000000000000e+02 2.164000000000000146e+00 2.004000000000000004e+00 1.041424000000007011e+00 1.022064000000000750e+00 2.176343999999999390e+00
1.927710843373493885e-04 2.440000000000000000e+02 2.213999999999999968e+00 2.008000000000000007e+00 1.049872000000000805e+00 1.029495999999993527e+00 2.224631999999999721e+00
2.248995983935743047e-04 2.430000000000000000e+02 2.295999999999999819e+00 2.032000000000000028e+00 1.058767999999998377e+00 1.036704000000008064e+00 2.307736000000000232e+00
2.570281124497992209e-04 2.420000000000000000e+02 2.390000000000000124e+00 2.052000000000000046e+00 1.067744000000004911e+00 1.043752000000000901e+00 2.392208000000000112e+00
2.891566265060240828e-04 2.410000000000000000e+02 2.479999999999999982e+00 2.081999999999999851e+00 1.076880000000000503e+00 1.050991999999995929e+00 2.477120000000000655e+00
3.212851405622489990e-04 2.400000000000000000e+02 2.580000000000000071e+00 2.120000000000000107e+00 1.086240000000001205e+00 1.058144000000007079e+00 2.584639999999998938e+00
3.534136546184739151e-04 2.390000000000000000e+02 2.704000000000000181e+00 2.173999999999999932e+00 1.096080000000003940e+00 1.065216000000000163e+00 2.692223999999999950e+00
3.855421686746987771e-04 2.380000000000000000e+02 2.814000000000000057e+00 2.228000000000000203e+00 1.105888000000001314e+00 1.072503999999998126e+00 2.804415999999999798e+00
4.176706827309236932e-04 2.370000000000000000e+02 2.875999999999999890e+00 2.286000000000000032e+00 1.115216000000004204e+00 1.080496000000005230e+00 2.873015999999999792e+00
4.497991967871486094e-04 2.360000000000000000e+02 2.963999999999999968e+00 2.354000000000000092e+00 1.124976000000003973e+00 1.088143999999999556e+00 2.950400000000000134e+00
4.819277108433734714e-04 2.350000000000000000e+02 3.036000000000000032e+00 2.446000000000000174e+00 1.135040000000002269e+00 1.096384000000000247e+00 3.011632000000001863e+00
