# t er pr apr br abr
0.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+03 1.000000000000000000e+03 1.000000000000000000e+03 2.000000000000000000e+00 2.000000000000000000e+00
2.000000000000000000e+00 1.004000000000000000e+03 1.007000000000000000e+03 1.000000000000000000e+03 2.000000000000000000e+00 3.000000000000000000e+00
3.000000000000000000e+00 1.012000000000000000e+03 1.020000000000000000e+03 1.001000000000000000e+03 2.000000000000000000e+00 4.000000000000000000e+00
4.000000000000000000e+00 1.021000000000000000e+03 1.042000000000000000e+03 1.001000000000000000e+03 2.000000000000000000e+00 5.000000000000000000e+00
5.000000000000000000e+00 1.026000000000000000e+03 1.075000000000000000e+03 1.001000000000000000e+03 2.000000000000000000e+00 6.000000000000000000e+00
6.000000000000000000e+00 1.048000000000000000e+03 1.103000000000000000e+03 1.002000000000000000e+03 2.000000000000000000e+00 7.000000000000000000e+00
7.000000000000000000e+00 1.070000000000000000e+03 1.145000000000000000e+03 1.002000000000000000e+03 2.000000000000000000e+00 8.000000000000000000e+00
8.000000000000000000e+00 1.095000000000000000e+03 1.189000000000000000e+03 1.004000000000000000e+03 2.000000000000000000e+00 9.000000000000000000e+00
9.000000000000000000e+00 1.122000000000000000e+03 1.233000000000000000e+03 1.007000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
1.000000000000000000e+01 1.154000000000000000e+03 1.267000000000000000e+03 1.007000000000000000e+03 2.000000000000000000e+00 1.100000000000000000e+01
1.100000000000000000e+01 1.197000000000000000e+03 1.316000000000000000e+03 1.011000000000000000e+03 2.000000000000000000e+00 1.200000000000000000e+01
1.200000000000000000e+01 1.226000000000000000e+03 1.362000000000000000e+03 1.012000000000000000e+03 2.000000000000000000e+00 1.300000000000000000e+01
1.300000000000000000e+01 1.255000000000000000e+03 1.410000000000000000e+03 1.016000000000000000e+03 2.000000000000000000e+00 1.400000000000000000e+01
1.400000000000000000e+01 1.292000000000000000e+03 1.444000000000000000e+03 1.022000000000000000e+03 2.000000000000000000e+00 1.500000000000000000e+01
1.500000000000000000e+01 1.317000000000000000e+03 1.497000000000000000e+03 1.027000000000000000e+03 2.000000000000000000e+00 1.600000000000000000e+01
1.600000000000000000e+01 1.336000000000000000e+03 1.538000000000000000e+03 1.035000000000000000e+03 2.000000000000000000e+00 1.700000000000000000e+01
1.700000000000000000e+01 1.366000000000000000e+03 1.579000000000000000e+03 1.041000000000000000e+03 2.000000000000000000e+00 1.800000000000000000e+01
1.800000000000000000e+01 1.394000000000000000e+03 1.606000000000000000e+03 1.057000000000000000e+03 2.000000000000000000e+00 1.900000000000000000e+01
1.900000000000000000e+01 1.425000000000000000e+03 1.641000000000000000e+03 1.064000000000000000e+03 2.000000000000000000e+00 2.000000000000000000e+01
2.000000000000000000e+01 1.452000000000000000e+03 1.670000000000000000e+03 1.070000000000000000e+03 2.000000000000000000e+00 2.100000000000000000e+01
2.100000000000000000e+01 1.493000000000000000e+03 1.703000000000000000e+03 1.088000000000000000e+03 2.000000000000000000e+00 2.200000000000000000e+01
2.200000000000000000e+01 1.529000000000000000e+03 1.730000000000000000e+03 1.103000000000000000e+03 2.000000000000000000e+00 2.300000000000000000e+01
2.300000000000000000e+01 1.554000000000000000e+03 1.756000000000000000e+03 1.116000000000000000e+03 2.000000000000000000e+00 2.400000000000000000e+01
2.400000000000000000e+01 1.574000000000000000e+03 1.787000000000000000e+03 1.126000000000000000e+03 2.000000000000000000e+00 2.500000000000000000e+01
2.500000000000000000e+01 1.598000000000000000e+03 1.823000000000000000e+03 1.140000000000000000e+03 2.000000000000000000e+00 2.600000000000000000e+01
2.600000000000000000e+01 1.613000000000000000e+03 1.860000000000000000e+03 1.153000000000000000e+03 2.000000000000000000e+00 2.700000000000000000e+01
2.700000000000000000e+01 1.629000000000000000e+03 1.907000000000000000e+03 1.166000000000000000e+03 2.000000000000000000e+00 2.800000000000000000e+01
